sintomas_texto,diagnostico,sintomas_limpo,diagnostico_limpo
"tremores nas mãos, rigidez muscular, movimentos lentos",parkinson,tremores nas mãos rigidez bradicinesia,doenca_parkinson
"dor intensa na barriga, enjoo, vômito, confusao e perda de apetite",porfiria,dor intensa na barriga enjoo vômito confusão e inapetência,porfiria
"esquecimento constante, confusão, perda de referências com fraqueza",alzheimer,esquecimento constante confusão perda de referências com fraqueza,doenca_alzheimer
"cansaço, dor na barriga, tremor, problemas no fígado",doenca_wilson,cansaço dor abdominal tremor problemas no fígado,doenca_wilson
"dor abdominal intensa, náusea persistente, vômito, confusão mental com fraqueza",porfiria,dor abdominal intensa náusea persistente vômito confusão mental com fraqueza,porfiria
cansaco extremo dor articular severa crises dolorosas e mal estar geral,anemia_falciforme,cansaço extremo dor articular severa crises dolorosas e mal estar,anemia_falciforme
"dor no corpo todo, cansaço constante, dificuldade para dormir",fibromialgia,dor no corpo todo cansaço constante insônia,fibromialgia
"cansaço extremo, dor articular severa, crises dolorosas",anemia_falciforme,cansaço extremo dor articular severa crises dolorosas,anemia_falciforme
"cansaço extremo, dor articular, episódios dolorosos e dor de cabeça",anemia_falciforme,cansaço extremo dor articular episódios dolorosos e dor de cabeça,anemia_falciforme
"temperatura alta, dor nos músculos, cansaço que nao passa",febre_maculosa,febre dor nos músculos cansaço que nao passa,febre_maculosa
"tremores nas extremidades, rigidez, lentidão motora e dor de cabeça",parkinson,tremores nas extremidades rigidez bradicinesia e dor de cabeça,doenca_parkinson
"dor abdominal severa, enjoo, vômito, confusao mental",porfiria,dor abdominal severa enjoo vômito confusão mental,porfiria
"fadiga persistente, perda de força, visão dupla, formigamento acompanhado de tontura",esclerose_multipla,fadiga persistente perda de força diplopia formigamento acompanhado de tontura,esclerose_multipla
"fadiga severa, obesidade, frieza excessiva",hipotireoidismo,fadiga severa obesidade frieza excessiva,hipotireoidismo
"dores musculares difusas, fadiga severa, sono ruim",fibromialgia,dores musculares difusas fadiga severa insônia,fibromialgia
"fadiga severa crônica, dor no corpo todo, problemas de foco",sindrome_fadiga_cronica,fadiga severa crônica dor no corpo todo problemas de foco,sindrome_fadiga_cronica
"dor articular crônica, juntas inchadas, rigidez matinal",artrite_reumatoide,dor articular crônica inchaço articular rigidez matinal,artrite_reumatoide
"tremor nas mãos, rigidez corporal, bradicinesia",parkinson,tremor nas mãos rigidez corporal bradicinesia,doenca_parkinson
"secura na boca, olhos ressecados, cansaço, dor articular crônica com fraqueza",sindrome_sjogren,secura na boca olhos ressecados cansaço dor articular crônica com fraqueza,sindrome_sjogren
"sede constante, micção frequente, perda de peso rápida",diabetes_tipo1,sede constante micção frequente emagrecimento rápida,diabetes_tipo1
"cansaço severo, dor articular, crises de dor intensa",anemia_falciforme,cansaço severo dor articular crises de dor intensa,anemia_falciforme
"tremor nas mãos, rigidez muscular, instabilidade postural",parkinson,tremor nas mãos rigidez instabilidade postural,doenca_parkinson
"cólicas abdominais intensas, diarreia sanguinolenta",doenca_crohn,cólicas abdominais intensas diarréia sanguinolenta,doenca_crohn
"muita sede, urinar muito, emagrecimento",diabetes_tipo1,sede excessiva micção frequente emagrecimento,diabetes_tipo1
"cansaço, dor na região abdominal, tremor, hepatopatia",doenca_wilson,cansaço dor na região abdominal tremor hepatopatia,doenca_wilson
"dor abdominal severa, náusea, vômito, confusão mental acompanhado de tontura",porfiria,dor abdominal severa náusea vômito confusão mental acompanhado de tontura,porfiria
"cansaço severo, dor articular intensa, dor em crises",anemia_falciforme,cansaço severo dor articular intensa dor em crises,anemia_falciforme
"febre alta, dor no corpo todo, cansaço extremo",febre_maculosa,febre alta dor no corpo todo cansaço extremo,febre_maculosa
"cansaço extremo, obesidade progressiva, sensação de frio",hipotireoidismo,cansaço extremo obesidade progressiva sensação de frio,hipotireoidismo
fadiga constante dor abdominal tremores hepatopatia,doenca_wilson,fadiga constante dor abdominal tremores hepatopatia,doenca_wilson
"fadiga severa, dor nas juntas, dor em episódios",anemia_falciforme,fadiga severa dor nas juntas dor em episódios,anemia_falciforme
dor articular fadiga crônica sensibilidade ao sol com fraqueza,lupus,dor articular fadiga crônica sensibilidade ao sol com fraqueza,lupus
"dor severa na barriga, enjoo, vômito persistente, confusao",porfiria,dor severa na barriga enjoo vômito persistente confusão,porfiria
"dor abdominal severa, náusea, vômito, confusão mental",porfiria,dor abdominal severa náusea vômito confusão mental,porfiria
"emagrecimento rápido, taquicardia, ansiedade constante e mal estar geral",hipertireoidismo,emagrecimento rápido taquicardia ansiedade constante e mal estar,hipertireoidismo
"esquecimento, confusão, perda de noção de tempo e lugar",alzheimer,esquecimento confusão perda de noção de tempo e lugar,doenca_alzheimer
"dor na região abdominal, diarreia frequente, fraqueza",doenca_crohn,dor na região abdominal diarréia frequente fraqueza,doenca_crohn
esquecimento confusão perda de noção de tempo e lugar,alzheimer,esquecimento confusão perda de noção de tempo e lugar,doenca_alzheimer
"sede excessiva, poliúria, perda de peso inexplicável",diabetes_tipo1,sede excessiva poliúria emagrecimento inexplicável,diabetes_tipo1
"cansaço severo, dor na barriga, tremor, disfunção hepática e mal estar geral",doenca_wilson,cansaço severo dor abdominal tremor disfunção hepática e mal estar,doenca_wilson
"cansaço, dor na barriga, tremor, problemas no fígado",doenca_wilson,cansaço dor abdominal tremor problemas no fígado,doenca_wilson
"febre baixa, cansaço, dor no corpo, manchas na pele",doenca_lyme,febre baixa cansaço dor no corpo manchas na pele,doenca_lyme
"braços sem força, fala difícil, atrofia muscular",esclerose_lateral,braços sem força fala difícil atrofia muscular,esclerose_lateral
"muita sede, urina frequente, emagrecimento súbito",diabetes_tipo1,sede excessiva urina frequente emagrecimento súbito,diabetes_tipo1
"juntas doloridas, cansaço que não passa, manchas na face",lupus,juntas doloridas cansaço que não passa manchas na face,lupus
"articulações inflamadas, dor constante, rigidez",artrite_reumatoide,articulações inflamadas dor constante rigidez,artrite_reumatoide
"dor articular, fadiga crônica, sensibilidade ao sol",lupus,dor articular fadiga crônica sensibilidade ao sol,lupus
"perda de força, cansaço, diplopia, problemas de deglutição",miastenia_gravis,perda de força cansaço diplopia problemas de deglutição,miastenia_gravis
"dor severa na barriga, enjoo, vômito frequente, alterações cognitivas",porfiria,dor severa na barriga enjoo vômito frequente alterações cognitivas,porfiria
"febre baixa, cansaço constante, dor no corpo, manchas",doenca_lyme,febre baixa cansaço constante dor no corpo manchas,doenca_lyme
boca seca olhos secos severos fadiga dor nas articulações,sindrome_sjogren,secura oral secura ocular severos fadiga dor nas articulações,sindrome_sjogren
"dor nas juntas, inchaço articular, dificuldade de movimento com fraqueza",artrite_reumatoide,dor nas juntas inchaço articular dificuldade de movimento com fraqueza,artrite_reumatoide
"dor nas articulações, cansaco extrema, problemas de pele",lupus,dor nas articulações cansaço extrema problemas de pele,lupus
"febre persistente, dor muscular generalizada, erupçao cutânea",febre_maculosa,febre persistente dor muscular generalizada erupção cutânea,febre_maculosa
"cansaco severo, aumento de peso, frio excessivo acompanhado de tontura",hipotireoidismo,cansaço severo ganho de peso frio excessivo acompanhado de tontura,hipotireoidismo
cansaço que não alivia dor muscular difusa névoa cerebral,sindrome_fadiga_cronica,cansaço que não alivia dor muscular difusa névoa cerebral,sindrome_fadiga_cronica
"dor muscular difusa, cansaço severo, dificuldades do sono acompanhado de tontura",fibromialgia,dor muscular difusa cansaço severo dificuldades do sono acompanhado de tontura,fibromialgia
"fadiga extrema constante, dor generalizada, dificuldade mental",sindrome_fadiga_cronica,fadiga extrema constante dor generalizada dificuldade mental,sindrome_fadiga_cronica
"braços fracos, problemas na fala, contrações musculares",esclerose_lateral,braços fracos problemas na fala contrações musculares,esclerose_lateral
"dor nas juntas, inchaço articular, dificuldade de movimento",artrite_reumatoide,dor nas juntas inchaço articular dificuldade de movimento,artrite_reumatoide
perda de peso palpitações frequentes nervosismo,hipertireoidismo,emagrecimento palpitações frequentes nervosismo,hipertireoidismo
perda de força cansaço extremo diplopia problemas para engolir,miastenia_gravis,perda de força cansaço extremo diplopia dificuldade deglutição,miastenia_gravis
"cansaço que não passa, dor articular, crises álgicas",anemia_falciforme,cansaço que não passa dor articular crises álgicas,anemia_falciforme
"fadiga crônica, coordenação prejudicada, visão turva",esclerose_multipla,fadiga crônica coordenação prejudicada visão embaçada,esclerose_multipla
"perda de memória progressiva, confusão, dificuldade de orientacão",alzheimer,perda de memória progressiva confusão dificuldade de orientacão,doenca_alzheimer
cansaço severo falta de ar aos esforços tosse febre,sarcoidose,cansaço severo dispneia aos esforços tosse febre,sarcoidose
"problemas de memória, confusão mental, desorientação temporal",alzheimer,perda de memória confusão mental desorientação temporal,doenca_alzheimer
"dor no corpo todo, cansaço constante, dificuldade para dormir",fibromialgia,dor no corpo todo cansaço constante insônia,fibromialgia
"fadiga severa crônica, dor no corpo todo, problemas de foco e dor de cabeça",sindrome_fadiga_cronica,fadiga severa crônica dor no corpo todo problemas de foco e dor de cabeça,sindrome_fadiga_cronica
"febre baixa, cansaço severo, dor no corpo, manchas cutâneas e mal estar geral",doenca_lyme,febre baixa cansaço severo dor no corpo manchas cutâneas e mal estar,doenca_lyme
problemas de memória confusão mental desorientação temporal,alzheimer,perda de memória confusão mental desorientação temporal,doenca_alzheimer
"fadiga, fraqueza nas pernas, visão turva, formigamento",esclerose_multipla,fadiga fraqueza nas pernas visão embaçada formigamento,esclerose_multipla
cólicas fortes diarreia com muco emagrecimento e perda de apetite,doenca_crohn,cólicas fortes diarréia com muco emagrecimento e inapetência,doenca_crohn
"dor nas articulações, inchaço nas juntas, rigidez matinal e mal estar geral",artrite_reumatoide,dor nas articulações inchaço nas juntas rigidez matinal e mal estar,artrite_reumatoide
"dor nas juntas, inchaço articular, rigidez ao acordar e dor de cabeça",artrite_reumatoide,dor nas juntas inchaço articular rigidez ao acordar e dor de cabeça,artrite_reumatoide
"fraqueza muscular, fadiga severa, visão dupla, dificuldade para engolir",miastenia_gravis,fraqueza muscular fadiga severa diplopia dificuldade para engolir,miastenia_gravis
"dor nas juntas, inchaço articular, rigidez ao acordar",artrite_reumatoide,dor nas juntas inchaço articular rigidez ao acordar,artrite_reumatoide
"dor forte no abdômen, enjoo constante, vômito, confusão",porfiria,dor forte no abdômen enjoo constante vômito confusão,porfiria
"articulaçoes inflamadas, dor constante, rigidez",artrite_reumatoide,articulaçoes inflamadas dor constante rigidez,artrite_reumatoide
"secura oral, olhos ressecados, cansaço constante, dor articular e dor de cabeça",sindrome_sjogren,secura oral olhos ressecados cansaço constante dor articular e dor de cabeça,sindrome_sjogren
temperatura alta dor nos músculos cansaço que não passa,febre_maculosa,febre dor nos músculos cansaço que não passa,febre_maculosa
"dor em múltiplos pontos, fadiga crônica, insônia severa",fibromialgia,dor em múltiplos pontos fadiga crônica insônia severa,fibromialgia
"emagrecimento súbito, batimentos acelerados, ansiedade",hipertireoidismo,emagrecimento súbito taquicardia ansiedade,hipertireoidismo
"dor abdominal severa, náusea, vômito, confusão mental",porfiria,dor abdominal severa náusea vômito confusão mental,porfiria
"dor corporal generalizada, cansaco persistente, sono fragmentado",fibromialgia,dor corporal generalizada cansaço persistente sono fragmentado,fibromialgia
"cansaco severa, fraqueza muscular, visao dupla, dormência",esclerose_multipla,cansaço severa fraqueza muscular visao dupla dormência,esclerose_multipla
"emagrecimento rápido, taquicardia, ansiedade constante e dor de cabeça",hipertireoidismo,emagrecimento rápido taquicardia ansiedade constante e dor de cabeça,hipertireoidismo
"dor nas juntas, fadiga que não melhora, erupção facial",lupus,dor nas juntas fadiga que não melhora erupção facial,lupus
"perda de forca muscular, dificuldade para engolir e dor de cabeça",esclerose_lateral,perda de força muscular dificuldade para engolir e dor de cabeça,esclerose_lateral
dificuldade para levantar os bracos fala alterada,esclerose_lateral,dificuldade para levantar os bracos fala alterada,esclerose_lateral
"secura oral, olhos ressecados, cansaço constante, dor articular e dor de cabeça",sindrome_sjogren,secura oral olhos ressecados cansaço constante dor articular e dor de cabeça,sindrome_sjogren
"febre de 39°C, dor nas costas, náusea e vômito",febre_maculosa,febre de c dor nas costas náusea e vômito,febre_maculosa
"febre baixa, cansaço severo, dor no corpo, manchas cutâneas acompanhado de tontura",doenca_lyme,febre baixa cansaço severo dor no corpo manchas cutâneas acompanhado de tontura,doenca_lyme
"articulações dolorosas, inchaço persistente, rigidez",artrite_reumatoide,articulações dolorosas inchaço persistente rigidez,artrite_reumatoide
"cansaco crônica, falta de ar, tosse seca persistente, febre e mal estar geral",sarcoidose,cansaço crônica dispneia tosse seca persistente febre e mal estar,sarcoidose
"sede excessiva, urina frequente, perda de peso e mal estar geral",diabetes_tipo1,sede excessiva urina frequente emagrecimento e mal estar,diabetes_tipo1
"dor articular, juntas inchadas, dificuldade para se mover",artrite_reumatoide,dor articular inchaço articular dificuldade para se mover,artrite_reumatoide
dor severa na barriga enjoo vômito frequente alteracões cognitivas e perda de apetite,porfiria,dor severa na barriga enjoo vômito frequente alteracões cognitivas e inapetência,porfiria
"dor articular, fadiga crônica, sensibilidade ao sol e mal estar geral",lupus,dor articular fadiga crônica sensibilidade ao sol e mal estar,lupus
"perda de força, cansaço, diplopia, problemas para engolir",miastenia_gravis,perda de força cansaço diplopia dificuldade deglutição,miastenia_gravis
"temperatura elevada, dores musculares intensas, cansaco severa com fraqueza",febre_maculosa,febre dores musculares intensas cansaço severa com fraqueza,febre_maculosa
temperatura elevada dor generalizada náusea,febre_maculosa,febre dor generalizada náusea,febre_maculosa
"temperatura elevada, dores musculares intensas, fadiga severa com fraqueza",febre_maculosa,febre dores musculares intensas fadiga severa com fraqueza,febre_maculosa
"dor na região abdominal, diarreia frequente, fraqueza acompanhado de tontura",doenca_crohn,dor na região abdominal diarréia frequente fraqueza acompanhado de tontura,doenca_crohn
boca seca olhos secos severos fadiga dor nas articulações,sindrome_sjogren,secura oral secura ocular severos fadiga dor nas articulações,sindrome_sjogren
"muita sede, urina frequente, emagrecimento súbito",diabetes_tipo1,sede excessiva urina frequente emagrecimento súbito,diabetes_tipo1
"cansaço que não alivia, dor muscular difusa, névoa cerebral",sindrome_fadiga_cronica,cansaço que não alivia dor muscular difusa névoa cerebral,sindrome_fadiga_cronica
"secura oral, olhos ressecados, cansaço constante, dor articular",sindrome_sjogren,secura oral olhos ressecados cansaço constante dor articular,sindrome_sjogren
"fadiga severa, dor nas juntas, dor em episódios",anemia_falciforme,fadiga severa dor nas juntas dor em episódios,anemia_falciforme
"perda de força, cansaço, diplopia, problemas de deglutição",miastenia_gravis,perda de força cansaço diplopia problemas de deglutição,miastenia_gravis
"esquecimento, confusão, perda de noção de tempo e lugar",alzheimer,esquecimento confusão perda de noção de tempo e lugar,doenca_alzheimer
"febre baixa, cansaço constante, dor no corpo, manchas e perda de apetite",doenca_lyme,febre baixa cansaço constante dor no corpo manchas e inapetência,doenca_lyme
cansaco crônica aumento de peso inexplicável intolerância ao frio,hipotireoidismo,cansaço crônica ganho de peso inexplicável intolerância ao frio,hipotireoidismo
"perda de força, fala lenta, rigidez muscular com fraqueza",esclerose_lateral,perda de força fala lenta rigidez com fraqueza,esclerose_lateral
"febre intermitente, fadiga, dor muscular, erupçao acompanhado de tontura",doenca_lyme,febre intermitente fadiga dor muscular erupção acompanhado de tontura,doenca_lyme
"fadiga constante, dor nas articulações, sensibilidade à luz",lupus,fadiga constante dor nas articulações sensibilidade à luz,lupus
"dor articular, fadiga crônica, sensibilidade ao sol",lupus,dor articular fadiga crônica sensibilidade ao sol,lupus
"tremor nas mãos, rigidez muscular, instabilidade postural",parkinson,tremor nas mãos rigidez instabilidade postural,doenca_parkinson
"sede excessiva, urina frequente, perda de peso",diabetes_tipo1,sede excessiva urina frequente emagrecimento,diabetes_tipo1
dor abdominal severa diarreia crônica fadiga,doenca_crohn,dor abdominal severa diarréia crônica fadiga,doenca_crohn
"cansaço constante e severo, dores musculares, problemas cognitivos",sindrome_fadiga_cronica,cansaço constante e severo dores musculares problemas cognitivos,sindrome_fadiga_cronica
"cansaço extremo, ganho de peso inexplicável, sensibilidade ao frio",hipotireoidismo,cansaço extremo ganho de peso inexplicável sensibilidade ao frio,hipotireoidismo
"temperatura elevada, dores musculares intensas, fadiga severa",febre_maculosa,febre dores musculares intensas fadiga severa,febre_maculosa
"fadiga, fraqueza nas pernas, visão turva, formigamento",esclerose_multipla,fadiga fraqueza nas pernas visão embaçada formigamento,esclerose_multipla
"perda de força nos membros, fala arrastada, espasmos",esclerose_lateral,perda de força nos membros fala arrastada espasmos,esclerose_lateral
"febre persistente, fadiga extrema, erupcões na pele",febre_maculosa,febre persistente fadiga extrema erupcões na pele,febre_maculosa
"dor articular generalizada, fadiga severa, erupções cutâneas",lupus,dor articular generalizada fadiga severa erupções cutâneas,lupus
cansaço extremo falta de ar tosse persistente febre baixa,sarcoidose,cansaço extremo dispneia tosse persistente febre baixa,sarcoidose
"dor intensa no abdômen, enjoo severo, vômito, confusão e perda de apetite",porfiria,dor intensa no abdômen enjoo severo vômito confusão e inapetência,porfiria
"cansaco severa crônica, dor no corpo todo, problemas de foco",sindrome_fadiga_cronica,cansaço severa crônica dor no corpo todo problemas de foco,sindrome_fadiga_cronica
"sede intensa, micção excessiva, perda de peso e mal estar geral",diabetes_tipo1,sede intensa micção excessiva emagrecimento e mal estar,diabetes_tipo1
"cansaço que não passa, ganho de peso rápido, frio constante e dor de cabeça",hipotireoidismo,cansaço que não passa ganho de peso rápido frio constante e dor de cabeça,hipotireoidismo
"cansaço extremo, ganho de peso inexplicável, sensibilidade ao frio e dor de cabeça",hipotireoidismo,cansaço extremo ganho de peso inexplicável sensibilidade ao frio e dor de cabeça,hipotireoidismo
"cansaço extremo que não melhora, dor muscular, problemas de memória e perda de apetite",sindrome_fadiga_cronica,cansaço extremo que não melhora dor muscular perda de memória e inapetência,sindrome_fadiga_cronica
"fadiga constante, obesidade, intolerância ao frio",hipotireoidismo,fadiga constante obesidade intolerância ao frio,hipotireoidismo
"cansaço severo, fraqueza muscular, problemas visuais, tontura",esclerose_multipla,cansaço severo fraqueza muscular visão alterada tontura,esclerose_multipla
"febre de 39°C, dor nas costas, náusea e vômito",febre_maculosa,febre de c dor nas costas náusea e vômito,febre_maculosa
"perda de força, cansaço, diplopia, problemas para engolir",miastenia_gravis,perda de força cansaço diplopia dificuldade deglutição,miastenia_gravis
"dor abdominal severa, náusea, vômito, confusão mental",porfiria,dor abdominal severa náusea vômito confusão mental,porfiria
dor em vários pontos do corpo cansaço extremo insônia e perda de apetite,fibromialgia,dor em vários pontos do corpo cansaço extremo insônia e inapetência,fibromialgia
"boca ressecada, olhos secos crônicos, fadiga, dor articular e dor de cabeça",sindrome_sjogren,boca ressecada secura ocular crônicos fadiga dor articular e dor de cabeça,sindrome_sjogren
"cansaco persistente, perda de forca, visão dupla, formigamento acompanhado de tontura",esclerose_multipla,cansaço persistente perda de força diplopia formigamento acompanhado de tontura,esclerose_multipla
perda de forca nos membros fala arrastada espasmos,esclerose_lateral,perda de força nos membros fala arrastada espasmos,esclerose_lateral
tremor nas mãos rigidez corporal bradicinesia,parkinson,tremor nas mãos rigidez corporal bradicinesia,doenca_parkinson
"cansaço extremo, pernas fracas, visão embaçada, formigamento",esclerose_multipla,cansaço extremo pernas fracas visão embaçada formigamento,esclerose_multipla
"dor nas juntas, inchaco articular, rigidez ao acordar",artrite_reumatoide,dor nas juntas inchaço articular rigidez ao acordar,artrite_reumatoide
"fadiga crônica, aumento de peso inexplicável, intolerância ao frio acompanhado de tontura",hipotireoidismo,fadiga crônica ganho de peso inexplicável intolerância ao frio acompanhado de tontura,hipotireoidismo
"perda de força muscular, cansaço, problemas visuais, dificuldade de deglutição e perda de apetite",miastenia_gravis,perda de força muscular cansaço visão alterada dificuldade de deglutição e inapetência,miastenia_gravis
"boca ressecada, olhos secos, fadiga constante, dor articular",sindrome_sjogren,boca ressecada secura ocular fadiga constante dor articular,sindrome_sjogren
cansaço dispneia aos esforços tosse febre baixa,sarcoidose,cansaço dispneia aos esforços tosse febre baixa,sarcoidose
"tremor nas mãos, rigidez corporal, bradicinesia",parkinson,tremor nas mãos rigidez corporal bradicinesia,doenca_parkinson
